,query_id,query,expected_source,retrieved_sources,hit_at_k,recall@3,MRR@3,rank_of_first_relevant
0,q01,На каком курсе можно поступить в ВУЦ?,doc_01,"doc_18, doc_01, doc_08",1,1.0,0.5,2.0
1,q02,Как получить дополнительные баллы при поступлении?,doc_02,"doc_02, doc_12, doc_17",1,1.0,1.0,1.0
2,q03,Есть ли льготы для детей военнослужащих при поступлении?,doc_03,"doc_03, doc_06",1,1.0,1.0,1.0
3,q04,Сколько лет учатся в ВУЦ?,doc_04,"doc_04, doc_01, doc_18",1,1.0,1.0,1.0
4,q05,"Что будет, если категория годности не подходит (например В)?",doc_05,"doc_05, doc_14, doc_15",1,1.0,1.0,1.0
5,q06,Нужно ли потом идти служить после окончания ВУЦ?,doc_06,"doc_06, doc_04, doc_18",1,1.0,1.0,1.0
6,q07,"Придется ли платить, если меня отчислят из ВУЦ?",doc_07,"doc_07, doc_16, doc_06",1,1.0,1.0,1.0
7,q08,Куда подавать заявление на поступление в ВУЦ?,doc_08,"doc_16, doc_08, doc_06",1,1.0,0.5,2.0
8,q09,Что делать если я меняю паспорт во время подачи документов?,doc_09,"doc_09, doc_14",1,1.0,1.0,1.0
9,q10,Как проходит сдача нормативов по физической подготовке?,doc_10,"doc_20, doc_11, doc_03",0,0.0,0.0,
10,q11,Кто допускается до сдачи физподготовки?,doc_11,"doc_20, doc_11, doc_03",1,1.0,0.5,2.0
11,q12,Как формируется рейтинг поступающих в ВУЦ?,doc_17,"doc_12, doc_16",0,0.0,0.0,
12,q13,"Если я заболел и не пришел на нормативы, можно ли пересдать?",doc_13,"doc_14, doc_11, doc_20",0,0.0,0.0,
13,q14,Можно ли поступить в ВУЦ из другого университета?,doc_19,"doc_18, doc_19, doc_07",1,1.0,0.5,2.0
